date,log_ret_close
2025-07-28,0.0021914847
2025-07-29,0.0021914847
2025-07-30,0.0021914847
2025-07-31,0.0021914847
2025-08-01,-0.0057960004
2025-08-02,-0.019580068
2025-08-03,0.00230036
2025-08-04,0.00230036
2025-08-05,0.021587892
2025-08-06,0.002511904
2025-08-07,0.002511904
2025-08-08,0.002511904
2025-08-09,0.002511904
2025-08-10,-0.00055915443
2025-08-11,-0.00055915443
2025-08-12,-0.00055915443
2025-08-13,-0.00055915443
2025-08-14,-0.003399928
2025-08-15,0.0021914847
2025-08-16,0.005479551
2025-08-17,0.0021914847
2025-08-18,-0.001231656
2025-08-19,0.0021914847
2025-08-20,0.0021914847
2025-08-21,0.0021914847
2025-08-22,0.0021914847
2025-08-23,-0.001231656
2025-08-24,0.0021914847
2025-08-25,0.0021914847
2025-08-26,-0.00055915443
2025-08-27,-0.00055915443
2025-08-28,0.007995875
2025-08-29,-0.00091123674
2025-08-30,0.0021914847
2025-08-31,-0.00055915443
2025-09-01,0.002511904
2025-09-02,-0.00091123674
2025-09-03,0.002511904
2025-09-04,0.002511904
2025-09-05,-0.00055915443
2025-09-06,-0.00055915443
2025-09-07,-0.00055915443
2025-09-08,-0.00055915443
2025-09-09,0.0021914847
2025-09-10,0.0021914847
2025-09-11,0.0021914847
2025-09-12,0.0021914847
2025-09-13,0.0021914847
2025-09-14,0.0021914847
2025-09-15,0.005479551
2025-09-16,0.0021914847
2025-09-17,0.0021914847
2025-09-18,0.0021914847
2025-09-19,0.0021914847
2025-09-20,0.0021914847
2025-09-21,0.0021914847
2025-09-22,0.0021914847
2025-09-23,0.0021914847
2025-09-24,0.0021914847
2025-09-25,0.0021914847
2025-09-26,-0.001231656
2025-09-27,0.0021914847
2025-09-28,0.007675454
2025-09-29,-0.001231656
2025-09-30,0.0021914847
2025-10-01,0.0021914847
2025-10-02,-0.00055915443
2025-10-03,-0.00055915443
2025-10-04,-0.00055915443
2025-10-05,0.0027289144
2025-10-06,0.005479551
2025-10-07,0.0021914847
2025-10-08,0.0021914847
2025-10-09,0.0021914847
2025-10-10,0.0021914847
2025-10-11,-0.001231656
2025-10-12,0.0021914847
2025-10-13,0.0021914847
2025-10-14,-0.001231656
2025-10-15,0.0021914847
2025-10-16,0.0021914847
2025-10-17,0.010746207
2025-10-18,0.026628032
2025-10-19,0.026628032
2025-10-20,0.024884555
2025-10-21,0.010088658
2025-10-22,-0.005472756
2025-10-23,-0.005472756
2025-10-24,0.002511904
2025-10-25,0.002511904
2025-10-26,-0.00055915443
2025-10-27,-0.00055915443
2025-10-28,-0.00055915443
2025-10-29,-0.00055915443
2025-10-30,-0.00055915443
2025-10-31,0.0021914847
2025-11-01,0.0021914847
2025-11-02,-0.001231656
2025-11-03,0.0021914847
2025-11-04,0.0021914847
2025-11-05,-0.0057960004
2025-11-06,-0.011592584
2025-11-07,0.021587892
2025-11-08,-0.001231656
2025-11-09,0.007675454
2025-11-10,-0.001231656
2025-11-11,0.002511904
2025-11-12,-0.00055915443
2025-11-13,-0.00055915443
2025-11-14,-0.00055915443
2025-11-15,-0.0039822967
2025-11-16,-0.00055915443
2025-11-17,0.007675454
2025-11-18,-0.001231656
2025-11-19,0.0021914847
2025-11-20,0.0021914847
2025-11-21,0.0087530855
2025-11-22,0.011066626
2025-11-23,0.032112
2025-11-24,0.014650175
2025-11-25,-0.005472756
2025-11-26,-0.005472756
2025-11-27,0.002511904
2025-11-28,-0.00055915443
2025-11-29,-0.00055915443
2025-11-30,-0.00055915443
2025-12-01,-0.00055915443
2025-12-02,-0.00055915443
2025-12-03,0.0021914847
2025-12-04,0.0021914847
2025-12-05,-0.001231656
2025-12-06,0.0021914847
2025-12-07,0.0021914847
2025-12-08,0.0021914847
2025-12-09,-0.001231656
2025-12-10,0.0021914847
2025-12-11,0.0021914847
2025-12-12,0.0021914847
2025-12-13,0.0021914847
2025-12-14,0.0021914847
2025-12-15,0.0021914847
2025-12-16,-0.001231656
2025-12-17,0.0021914847
2025-12-18,0.0042523136
2025-12-19,0.0021914847
2025-12-20,0.0021914847
2025-12-21,0.0021914847
2025-12-22,0.0021914847
2025-12-23,0.0021914847
2025-12-24,0.0021914847
2025-12-25,0.0021914847
2025-12-26,0.0021914847
2025-12-27,0.0021914847
2025-12-28,0.0021914847
2025-12-29,0.0021914847
2025-12-30,0.0021914847
2025-12-31,0.0021914847
2026-01-01,0.0021914847
2026-01-02,0.0021914847
2026-01-03,0.0021914847
2026-01-04,0.006961673
2026-01-05,0.01024974
2026-01-06,0.01024974
2026-01-07,0.01024974
2026-01-08,0.005479551
2026-01-09,0.005479551
2026-01-10,0.0021914847
2026-01-11,-0.001231656
2026-01-12,0.0021914847
2026-01-13,0.0021914847
2026-01-14,0.0021914847
2026-01-15,0.006961673
2026-01-16,0.005479551
2026-01-17,0.005479551
2026-01-18,0.0021914847
2026-01-19,0.0021914847
2026-01-20,0.0021914847
2026-01-21,0.0021914847
2026-01-22,0.0021914847
2026-01-23,0.0021914847
2026-01-24,-0.001231656
2026-01-25,0.0021914847
2026-01-26,0.0021914847
2026-01-27,0.0021914847
2026-01-28,0.002511904
2026-01-29,-0.00091123674
2026-01-30,-0.00055915443
2026-01-31,-0.00055915443
2026-02-01,0.0030791415
2026-02-02,0.0035237365
2026-02-03,0.049447585
2026-02-04,0.03835318
2026-02-05,0.024884555
2026-02-06,0.010655893
2026-02-07,0.0036570788
2026-02-08,0.047704104
2026-02-09,0.024884555
2026-02-10,0.018643374
2026-02-11,0.00036688978
2026-02-12,-0.005472756
2026-02-13,0.002511904
2026-02-14,0.002511904
2026-02-15,-0.00091123674
2026-02-16,-0.00055915443
2026-02-17,-0.00055915443
2026-02-18,-0.00055915443
2026-02-19,-0.00055915443
2026-02-20,0.0021914847
2026-02-21,0.0021914847
2026-02-22,0.0021914847
2026-02-23,0.0021914847
2026-02-24,0.0021914847
2026-02-25,0.0021914847
2026-02-26,0.0021914847
2026-02-27,-0.001231656
2026-02-28,0.0021914847
2026-03-01,0.0021914847
2026-03-02,0.0021914847
2026-03-03,-0.001231656
2026-03-04,0.0021914847
2026-03-05,0.006961673
2026-03-06,0.0021914847
2026-03-07,0.005479551
2026-03-08,0.0021914847
2026-03-09,-0.001231656
2026-03-10,-0.001231656
2026-03-11,0.0021914847
2026-03-12,0.0021914847
2026-03-13,0.0021914847
2026-03-14,0.0021914847
2026-03-15,0.0021914847
2026-03-16,0.0021914847
2026-03-17,0.0021914847
2026-03-18,0.0021914847
2026-03-19,0.005479551
2026-03-20,0.0021914847
2026-03-21,0.0021914847
2026-03-22,-0.001231656
2026-03-23,0.0021914847
2026-03-24,0.0021914847
2026-03-25,-0.001231656
2026-03-26,0.0021914847
