,log_ret_close
2025-04-19,0.0015107512
2025-04-20,0.00024256992
2025-04-21,0.0015676939
2025-04-22,0.00024256992
2025-04-23,-0.019388584
2025-04-24,0.0015676939
2025-04-25,0.0015676939
2025-04-26,0.0015676939
2025-04-27,0.008200907
2025-04-28,-0.00044212452
2025-04-29,0.00024256992
2025-04-30,0.0015676939
2025-05-01,0.00024256992
2025-05-02,0.0015676939
2025-05-03,0.0015676939
2025-05-04,-0.006280523
2025-05-05,0.0015676939
2025-05-06,0.0015676939
2025-05-07,0.00024256992
2025-05-08,0.00024256992
2025-05-09,0.012244314
2025-05-10,0.010291249
2025-05-11,0.0021034593
2025-05-12,0.010291249
2025-05-13,0.013058299
2025-05-14,0.0015676939
2025-05-15,0.00024256992
2025-05-16,0.0015676939
2025-05-17,0.0015676939
2025-05-18,0.00024256992
2025-05-19,0.0015676939
2025-05-20,0.0015676939
2025-05-21,0.0015676939
2025-05-22,0.008966125
2025-05-23,0.010291249
2025-05-24,0.0015676939
2025-05-25,0.0015107512
2025-05-26,0.0015676939
2025-05-27,-0.0023807692
2025-05-28,0.0070449263
2025-05-29,0.00024256992
2025-05-30,0.0015676939
2025-05-31,0.0015676939
2025-06-01,0.0015676939
2025-06-02,0.00024256992
2025-06-03,0.0015676939
2025-06-04,0.0015676939
2025-06-05,-0.0005210015
2025-06-06,0.0008041221
2025-06-07,-0.003577415
2025-06-08,0.0008041221
2025-06-09,-0.001819216
2025-06-10,0.0008041221
2025-06-11,-0.0005210015
2025-06-12,-0.00070302584
2025-06-13,-0.0032737735
2025-06-14,0.0008041221
2025-06-15,0.0008041221
2025-06-16,-0.008903859
2025-06-17,0.0015676939
2025-06-18,0.0015676939
2025-06-19,0.00024256992
2025-06-20,0.0015676939
2025-06-21,-0.0010556446
2025-06-22,0.0015676939
2025-06-23,0.0015676939
2025-06-24,0.00024256992
2025-06-25,0.0015676939
2025-06-26,0.00024256992
2025-06-27,-0.008751004
2025-06-28,0.0006220975
2025-06-29,-0.0013877205
2025-06-30,-0.008807947
2025-07-01,0.00024256992
2025-07-02,0.007882613
2025-07-03,0.00024256992
2025-07-04,0.0015676939
2025-07-05,0.0015676939
2025-07-06,0.0015676939
2025-07-07,0.0015676939
2025-07-08,0.00024256992
2025-07-09,0.0015107512
2025-07-10,0.00024256992
2025-07-11,0.0015676939
2025-07-12,0.0015676939
2025-07-13,0.0015676939
2025-07-14,0.010291249
2025-07-15,0.010291249
2025-07-16,0.0015676939
2025-07-17,0.00024256992
2025-07-18,0.0015676939
2025-07-19,0.0015676939
2025-07-20,0.0015676939
2025-07-21,-0.00044212452
2025-07-22,0.0015676939
2025-07-23,0.0015676939
2025-07-24,0.00024256992
2025-07-25,0.0015676939
2025-07-26,0.0015676939
2025-07-27,0.0015676939
2025-07-28,0.00024256992
2025-07-29,0.0070449263
2025-07-30,0.007882613
2025-07-31,0.00024256992
2025-08-01,0.0015676939
2025-08-02,-0.008771717
2025-08-03,-0.0016757676
2025-08-04,-0.0016757676
2025-08-05,0.017550198
2025-08-06,0.0008041221
2025-08-07,-0.0005210015
2025-08-08,-0.0005210015
2025-08-09,0.0008041221
2025-08-10,0.0008041221
2025-08-11,0.0008041221
2025-08-12,-0.008751004
2025-08-13,-0.010076128
2025-08-14,-0.008751004
2025-08-15,0.0015676939
2025-08-16,0.0015676939
2025-08-17,0.00024256992
2025-08-18,-0.0010556446
2025-08-19,0.0015676939
2025-08-20,0.00024256992
2025-08-21,0.00024256992
2025-08-22,0.0015676939
2025-08-23,-0.0010556446
2025-08-24,0.0015676939
2025-08-25,0.009796007
2025-08-26,-0.0005210015
2025-08-27,-0.003577415
2025-08-28,-0.0005210015
2025-08-29,0.0036580148
2025-08-30,0.0015676939
2025-08-31,-0.0005210015
2025-09-01,-0.0005210015
2025-09-02,-0.001819216
2025-09-03,0.0008041221
2025-09-04,-0.0005210015
2025-09-05,0.0008041221
